codigo,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
1,9098007,15069218,20546580,29638010,35371426,39053235,43744965,59648106,74567940,76120080,78886040,83992589,80187348,92121827,102328541,98537675,102473953,104365140,109186841,110024210,114547972,116451199,116562170,114285498,115661588,115443449,120156497,122176388,120860178,127943526,128015470,129846629,157248306,157334106,160744416,158849806,157668744,152115355,132394078,129527119,126603534,132950366,142159861,139287529,158261848,160354258,159905080,159896651,137747251,145762734,145004258,140515193,146469118,146419914,153894115,155952509,181003211,174650422,178419146,178492455,151240227,152629676,154102740,162221086,161276042,169822527,171614275,173326882,174546344,175022491,177438060,187421087,182505198,186391006,201465357,200905188,202430781,212910626,217156879,216790840,224270489,221271801,225185640,227767872,229656380,234561033,240836710,239699898,247730054,251186749,255289054,261402300,261658896,260505999,263251063,266443462,276038998,275156260,282415082,283790127,288045162,294546763,297847166,302593021,296256008,303288659,303390152,307940411,316304360,318505706,314426378,317539208,321211687,327191413,336814242,340593620,345090016,351733767,350191539,355290359,358543598,361349297,361937434,371346608,374483283,374558967,379673288,377610227
101,315064,550304,187950,2710567,780959,419873,874466,1259219,952159,797164,862477,3368355,2288836,3129043,8305251,3433012,3083904,1982056,2939111,2145444,9993459,11068264,8322552,5125660,7061643,8492801,8187157,7511468,2808006,8209407,2988932,2004350,3623333,6750026,8507818,5070953,5358841,6134840,10020910,12879301,11936331,17717318,21418517,19481997,14917508,15557026,13497942,10300147,11490008,17051164,15336621,9015354,11712654,9834997,15268632,21080491,19497814,11136698,12511045,11171843,12111377,14302693,18106000,21197398,15710135,21990743,16315657,15125488,17672154,17864911,17406154,23821682,12210292,18243595,22900143,20461530,15583533,24318477,24105484,19819366,15971202,11158073,12866356,14071087,13875094,15419374,16904971,15172178,19142295,19033485,16822268,19143085,19200961,15481373,16272527,14793148,21517862,20495405,18485885,17987341,17885144,22213370,20955645,22323748,18745860,18816471,19647972,19328243,24644512,23352847,20709016,22473059,23860568,21500037,22696513,20878381,24206463,26578104,22364005,26068387,29574170,31424236,40523688,43212986,43683716,49258661,53624903,54499374
1011,315064,550304,187950,435695,776498,415412,870004,1254758,952155,797160,862473,3242339,2251070,3077502,7360173,3082298,1471161,1745603,2702344,1971300,2382466,10992463,8232526,5032660,7008275,8259261,7979857,6871079,2561604,7785185,2624579,1781072,3474875,5727605,7966595,4537385,4863972,4867011,9319095,11135599,10191075,16391375,20144709,18363985,14310830,15337310,12448885,10238772,11463185,10389444,7932038,7971685,10835478,9643801,13830856,14806407,13800884,10987780,10156361,11112368,12083412,14269411,18085492,21181013,15698617,18138859,12469715,15119106,17669698,17862357,14600634,21027761,11449236,17729402,21837532,19016329,15465292,24270058,23464090,14159765,14992960,10565001,12084782,12674094,12884296,13102607,16353798,13175985,18517028,18671886,15700310,16139726,16809275,14038485,15256747,13395102,20451930,20387959,14728235,14859816,15215040,18143557,17256377,22075652,17874774,18760696,19591062,15461537,21123741,21644788,19410654,21701922,23247295,21250342,22646628,20874553,24085018,26510019,22339841,22242751,25762939,27621201,34809858,37154876,37775763,38903112,42650056,44372684
101101,40870,148747,103871,196732,303291,352157,341921,225764,295939,435299,413684,308412,456259,360008,399090,397088,366853,395321,432313,643794,481592,841780,566484,713984,533176,619822,537100,513399,783559,964847,870622,902456,838344,948797,819915,1114143,1056541,950343,791953,992119,1077972,857644,815501,1115446,965895,1524368,1258134,987562,1098435,1001541,1127135,1473485,1158653,1444074,1176241,2034482,1462559,1234257,1063100,1484940,1335182,1628489,1945488,1967607,2010342,2190153,2199216,2039958,1965460,1941336,2693362,2436245,2394907,2946637,2567455,2937006,2227585,2412168,1777604,2808258,3336934,3171744,2986208,3411360,3105882,3627731,3783344,3803356,3707816,3717737,3322748,4222697,4591631,3476991,4044031,3055757,4600040,5009220,3608928,4237596,4571253,3280791,3823636,4108758,3545006,4188320,4288522,2766489,4084892,4041085,3509837,3915433,3233842,3410237,3615743,3573975,4112737,4818690,4374846,3842411,4304335,4236301,4376704,4075030,4055995,4919997,4229010,3921940
101103,274194,401557,84078,238963,473206,63255,528083,1028994,656216,361861,448789,2933926,1794811,2717494,6961083,2685211,1104308,1350283,2270031,1327506,1900875,10150684,7666041,4318676,6475100,7639440,7442756,6357680,1778044,6820338,1753958,878616,2636531,4778808,7146680,3423243,3807432,3916667,8527142,10143480,9113103,15533731,19329208,17248539,13344935,13812942,11190751,9251209,10364750,9387904,6804902,6498200,9676825,8199728,12654614,12771925,12338325,9753523,9093261,9627428,10748230,12640922,16140004,19213407,13688276,15948706,10270499,13079148,15704238,15921021,11907273,18591516,9054329,14782765,19270077,16079323,13237707,21857890,21686486,11351506,11656026,7393257,9098574,9262734,9778413,9474877,12570454,9372628,14809212,14954149,12377562,11917029,12217644,10561494,11212716,10339345,15851891,15378738,11119307,10622220,10643786,14862766,13432740,17966894,14329768,14572376,15302540,12695048,17038849,17603702,15900817,17786489,20013453,17839995,19030785,17300478,19972181,21691228,17964896,16400240,19441143,21355603,28387897,31022753,31646938,28392383,32624857,34786376
101108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,110,100,100,100,100,100,2000100,2017460,2029296,2045257,2057092,2072829,5590732,5796188,5664368
1016,,,,2274872,4461,4461,4461,4461,4,4,4,126017,37766,51541,945078,350714,1612743,236453,236768,174144,7610993,75801,90027,93000,53368,233540,207300,640389,246403,424222,364353,223278,148458,1022421,541223,533568,494869,1267829,701815,1743702,1745256,1325943,1273808,1118012,606677,219716,1049057,61375,26823,6661719,7404584,1043669,877176,191196,1437776,6274084,5696930,148918,2354685,59475,27965,33283,20508,16385,11517,3851884,3845942,6382,2456,2554,2805519,2793921,761057,514193,1062611,1445202,118242,48419,641394,5659601,978242,593072,781573,1396994,990798,2316767,551173,1996193,625267,361599,1121958,3003359,2391685,1442887,1015780,1398047,1065932,107446,3757650,3127525,2670105,4069813,3699269,248096,871086,55776,56910,3866706,3520771,1708059,1298362,771137,613273,249696,49886,3828,121445,68086,24164,3825636,3811231,3803036,5713830,6058111,5907953,10355549,10974847,10126690
101602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,41419,41419,41384,7047,12946,7082,7084,7073,7049,7046,7044,7825,14072,10129,6217,2330,777,775, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
101603,,,,2274872,4461,4461,4461,4461,4,4,4,126017,37766,51541,945078,350714,1612743,236453,236768,174144,7610993,75801,90027,93000,53368,233540,207300,640389,246403,424222,364353,223278,148458,1022421,541223,533568,494869,1267829,701815,1743702,1745256,1325943,1273808,1118012,606677,219716,1049057,61375,26823,6661719,7404584,1043669,877176,191196,1437776,6274084,5696930,148918,2354685,59475,27965,33283,20508,16385,11517,3851884,3845942,6382,2456,2554,2805519,2793921,761057,514193,1062611,1445202,118242,48419,641394,5659601,978242,593072,781573,1396994,990798,2316767,551173,1996193,625267,361599,1121958,3003359,2391685,1442887,974360,1356628,1024548,100399,3744704,3120443,2663020,4062740,3692219,241050,864042,47950,42838,3856577,3514553,1705729,1297586,770362,613273,249696,49886,3828,121445,68086,24164,3825636,3811231,3803036,5713830,6058111,5907953,10355549,10974847,10126690
102,5100,100,100,100,2276688,2283243,2290911,13077611,16921954,16964232,17006217,19227731,19220096,23783568,28416042,28425840,28406827,30128197,29802687,29852541,29918180,29973058,30008198,29476799,29535695,27277196,27219184,27286605,27234102,26961847,26982418,26982418,26936178,26950247,26990591,27041860,27052284,22553038,22605655,18598040,18543085,18559682,18576167,18592781,14868730,12606294,14226256,16242904,16259825,14038779,14081143,14770334,14787627,14804804,14821793,10115659,10235792,10256308,10430593,12755599,12777002,12798439,12819859,14849629,14871055,10177778,10832781,10327578,10365196,10352813,10390431,10426974,11992747,9708573,18982186,18989615,19048758,20630545,20656905,20682121,31768666,31672737,28705260,28894245,28930204,29042369,30671348,28664857,30724889,32069780,32212223,32301608,32149350,32227921,32243654,32304850,32402774,32538457,37793742,37960086,39097571,39132153,39154914,39246328,37399638,37466288,37573941,37605022,38040991,38139024,34046076,34314097,34387794,42277604,41757498,41839705,41513184,41694262,41736535,41841310,41914807,41969644,34206229,35410973,35485723,28614399,28548642,27148336
